"","X10512","X10889","X11057","X11313","X11336","X11726","X12010","X12043","X13081","X13100","X17297","X17343","X17363","X17408","X22","X23","X3320","X3321","X3340","X40496","X4849","X6075","X721","X7534","X7892","X7895","X7916","X7920","X7923","X9369"
"X10512",0,0.0201322240604428,0.160438222488531,0.190533669377316,0.183579668036152,0.28554164335625,0.242861514200312,0.0782934301562668,0.154207941113712,0.141568452135976,0.0415142164369277,0.205633409816037,0.198351208717152,0.0932188736911311,0.214709181287255,0.135949812860463,0.22567203289484,0.194180008667177,0.100571286739042,0.319308501542181,0.279566698115797,0.0889755575648734,0.305109492109137,0.0233866959037637,0.0578563487066243,0.336370718861193,0.134083084682939,0.047317851596012,0.140633460321696,0.0973103109929431
"X10889",0.0201322240604428,0,0.17934251832146,0.125030778365644,0.122645615373832,0.298751208186603,0.238951257115381,0.0663753095447033,0.245255349136144,0.160509429118636,0.06242146007341,0.293879827358429,0.286754921468728,0.0981363461812358,0.21427060653923,0.151436971083193,0.199011862085955,0.17812949693541,0.0864258562228948,0.40823317171172,0.357055037243058,0.106900627131206,0.240356426401177,0.0427185232164281,0.0602666114900135,0.428645141105745,0.0714223483224888,0.073508691195425,0.209747912765063,0.182812644886239
"X11057",0.160438222488531,0.17934251832146,0,0.222329933489143,0.164303892176001,0.0664477068544101,0.11212564718298,0.12885005245582,0.0558090145546917,0.208076487548215,0.142269028099132,0.273402408783815,0.131901954430775,0.17327130267421,0.0805268756253069,0.0365814811617057,0.157366413237968,0.0883508606108682,0.0899583403386992,0.214228792517316,0.178527345240599,0.0635442733926074,0.210308391223135,0.199093646592808,0.201830179554721,0.169956269541441,0.254288370232295,0.179597610165525,0.206581260300787,0.0693129499043044
"X11313",0.190533669377316,0.125030778365644,0.222329933489143,0,0.0622860851217069,0.459032703652627,0.22728711319007,0.164609843517769,0.248448377269355,0.464338727676729,0.21574050594977,0.597853009465259,0.483753795031993,0.337685105391709,0.203858706309082,0.196572766425913,0.377475770151014,0.130861425685876,0.0873503255474356,0.618022749091287,0.577086618445219,0.165440628514824,0.356785939932465,0.216281676844049,0.110599809836563,0.622581302353392,0.131225420716178,0.229079428322706,0.455625719630452,0.236678117828769
"X11336",0.183579668036152,0.122645615373832,0.164303892176001,0.0622860851217069,0,0.400912357168355,0.169809237655733,0.179261915294928,0.208535585966056,0.469798729736695,0.210219217754701,0.600776899737886,0.460422266039264,0.336859529602837,0.145321488412502,0.141942462981863,0.319442069406755,0.104115057331176,0.0763666724511223,0.555430517434914,0.520603241197487,0.0988616507573848,0.310702667736387,0.213595650609508,0.132481967997862,0.563832438697132,0.145853589939354,0.21995977751184,0.458462516420301,0.213386406136829
"X11726",0.28554164335625,0.298751208186603,0.0664477068544101,0.459032703652627,0.400912357168355,0,0.124332946530325,0.23975466826825,0.362636777204724,0.26933935802884,0.271839265307762,0.299193501070114,0.141682141406442,0.273095612733383,0.0781095125913759,0.12018537246883,0.130693023732428,0.336720013344706,0.177497198569865,0.0707393272619049,0.128295630429823,0.145709380215427,0.119188735821509,0.335079722743124,0.569652975366507,0.0509495499672591,0.315770118403088,0.319629388118977,0.232957844192979,0.153333341219707
"X12010",0.242861514200312,0.238951257115381,0.11212564718298,0.22728711319007,0.169809237655733,0.124332946530325,0,0.207375955578639,0.225390475474486,0.322656546689701,0.243374007143007,0.456756325533676,0.31540747180421,0.265823438723728,0.037672924984801,0.148932617501916,0.0856073314160809,0.107136079896534,0.164329371277616,0.27270997682047,0.145875363472068,0.149470082612829,0.0357859304897958,0.276405025951854,0.268858340184318,0.250832662190715,0.26633635266257,0.270876021439795,0.354362459634549,0.23877941386875
"X12043",0.0782934301562668,0.0663753095447033,0.12885005245582,0.164609843517769,0.179261915294928,0.23975466826825,0.207375955578639,0,0.136075555379579,0.195243013383192,0.111538114400645,0.25855874837362,0.161339647386026,0.162159099130513,0.185054650006618,0.0939107850425552,0.168832996969203,0.1387254304002,0.0514244828676591,0.299116730329632,0.238813271631967,0.0746387047658943,0.285267661140859,0.0979316372746888,0.133572084024789,0.306885654698359,0.204567210055017,0.132070868419139,0.0935946294178426,0.0638685360759476
"X13081",0.154207941113712,0.245255349136144,0.0558090145546917,0.248448377269355,0.208535585966056,0.362636777204724,0.225390475474486,0.136075555379579,0,0.396118042828445,0.160008428716918,0.415940247130904,0.30295219419286,0.423800184328567,0.195684786861139,0.0711914154231738,0.402831386999071,0.144534038308937,0.175794264410504,0.353014048968078,0.317161129436617,0.0609324588028494,0.460218242885233,0.189997820342926,0.223118459236031,0.336228481118647,0.331083369880032,0.182566741026112,0.338977774976275,0.0665963866753019
"X13100",0.141568452135976,0.160509429118636,0.208076487548215,0.464338727676729,0.469798729736695,0.26933935802884,0.322656546689701,0.195243013383192,0.396118042828445,0,0.0846493637569274,0.0677512536000528,0.096721350355701,0.0410083051376882,0.289316269390355,0.176443585409792,0.304030133970716,0.45598138821953,0.190027622470123,0.284514275141611,0.319793163383101,0.212345387891432,0.352678965685678,0.149517116874108,0.303406622561079,0.232688058554904,0.197944655528708,0.124806124746229,0.140398572244345,0.179814007567976
"X17297",0.0415142164369277,0.06242146007341,0.142269028099132,0.21574050594977,0.210219217754701,0.271839265307762,0.243374007143007,0.111538114400645,0.160008428716918,0.0846493637569274,0,0.14570149869099,0.174398129442415,0.041451900664581,0.218235423092834,0.116041064701426,0.277925050559231,0.214404614812917,0.110864688387422,0.338228041765224,0.305185498036178,0.116097820898373,0.331792691038465,0.0455523278121787,0.0503148615814502,0.311526826986548,0.107753163940718,0.0283589341300351,0.185543875718973,0.10380778837808
"X17343",0.205633409816037,0.293879827358429,0.273402408783815,0.597853009465259,0.600776899737886,0.299193501070114,0.456756325533676,0.25855874837362,0.415940247130904,0.0677512536000528,0.14570149869099,0,0.115813284219674,0.147517979620886,0.428601412843794,0.243459881840171,0.437969806463498,0.58877766645263,0.324799622569675,0.240592887008645,0.294748240424152,0.274297569836005,0.487285395918997,0.213782185522024,0.435272354778317,0.207570732668278,0.288249967536652,0.144707386834906,0.157760607040794,0.200576443461977
"X17363",0.198351208717152,0.286754921468728,0.131901954430775,0.483753795031993,0.460422266039264,0.141682141406442,0.31540747180421,0.161339647386026,0.30295219419286,0.096721350355701,0.174398129442415,0.115813284219674,0,0.206602068635035,0.286642180207422,0.101095368608578,0.293186332746203,0.446195498748989,0.192305854316957,0.161930096083798,0.197089372870654,0.1330909080377,0.346135562250411,0.237125401898413,0.462876592643588,0.113081734272817,0.359440525432139,0.214931333464241,0.0818073959695049,0.0860014664396394
"X17408",0.0932188736911311,0.0981363461812358,0.17327130267421,0.337685105391709,0.336859529602837,0.273095612733383,0.265823438723728,0.162159099130513,0.423800184328567,0.0410083051376882,0.041451900664581,0.147517979620886,0.206602068635035,0,0.235898464808997,0.147352368359463,0.291235733446301,0.39930602094013,0.136482305821131,0.381442567040106,0.398020384229725,0.163047691568278,0.272791306699684,0.10126388623672,0.234139922833463,0.340173833206804,0.0401416287192877,0.0460743525354312,0.238993519109806,0.212836741722796
"X22",0.214709181287255,0.21427060653923,0.0805268756253069,0.203858706309082,0.145321488412502,0.0781095125913759,0.037672924984801,0.185054650006618,0.195684786861139,0.289316269390355,0.218235423092834,0.428601412843794,0.286642180207422,0.235898464808997,0,0.115620507566826,0.0599118712591134,0.0882497490306529,0.138875801609201,0.245820029125692,0.181320194489816,0.124389020959208,0.0618441700248797,0.249451410288252,0.247601871263976,0.221323583145511,0.24397563960833,0.246438953523087,0.330707798973192,0.207642230601799
"X23",0.135949812860463,0.151436971083193,0.0365814811617057,0.196572766425913,0.141942462981863,0.12018537246883,0.148932617501916,0.0939107850425552,0.0711914154231738,0.176443585409792,0.116041064701426,0.243459881840171,0.101095368608578,0.147352368359463,0.115620507566826,0,0.193058893837112,0.123426278983574,0.0580204752970305,0.254795037202827,0.215321472082798,0.0404355842049007,0.251437233297613,0.1748522955904,0.18057933748344,0.206292265691388,0.231627364984166,0.157098355724628,0.178440176138857,0.0386949067675885
"X3320",0.22567203289484,0.199011862085955,0.157366413237968,0.377475770151014,0.319442069406755,0.130693023732428,0.0856073314160809,0.168832996969203,0.402831386999071,0.304030133970716,0.277925050559231,0.437969806463498,0.293186332746203,0.291235733446301,0.0599118712591134,0.193058893837112,0,0.252583788164338,0.167157265855162,0.207145409348306,0.172873498121161,0.146774960668127,0.0610756981986134,0.242004040035443,0.423582197450437,0.235357920163745,0.284699581643523,0.286877766377145,0.238618657909236,0.255104031968462
"X3321",0.194180008667177,0.17812949693541,0.0883508606108682,0.130861425685876,0.104115057331176,0.336720013344706,0.107136079896534,0.1387254304002,0.144534038308937,0.45598138821953,0.214404614812917,0.58877766645263,0.446195498748989,0.39930602094013,0.0882497490306529,0.123426278983574,0.252583788164338,0,0.118607936085556,0.443132600723034,0.393636808477947,0.104568937552745,0.280643286579648,0.218746814782649,0.174975034079119,0.442249029878355,0.228333660574193,0.234558454807225,0.444229549904116,0.201887881379311
"X3340",0.100571286739042,0.0864258562228948,0.0899583403386992,0.0873503255474356,0.0763666724511223,0.177497198569865,0.164329371277616,0.0514244828676591,0.175794264410504,0.190027622470123,0.110864688387422,0.324799622569675,0.192305854316957,0.136482305821131,0.138875801609201,0.0580204752970305,0.167157265855162,0.118607936085556,0,0.348636015831065,0.300775278107916,0.0530680168024238,0.186355286561107,0.128706623213637,0.128624084421167,0.334628308647099,0.129975913904643,0.137579150069525,0.202049904683649,0.110217170912376
"X40496",0.319308501542181,0.40823317171172,0.214228792517316,0.618022749091287,0.555430517434914,0.0707393272619049,0.27270997682047,0.299116730329632,0.353014048968078,0.284514275141611,0.338228041765224,0.240592887008645,0.161930096083798,0.381442567040106,0.245820029125692,0.254795037202827,0.207145409348306,0.443132600723034,0.348636015831065,0,0.0690410006158327,0.229816362444335,0.275473610910142,0.349614044575141,0.593074678192005,0.0333948091728405,0.505169574295607,0.354388125640705,0.17542691791839,0.215465857562589
"X4849",0.279566698115797,0.357055037243058,0.178527345240599,0.577086618445219,0.520603241197487,0.128295630429823,0.145875363472068,0.238813271631967,0.317161129436617,0.319793163383101,0.305185498036178,0.294748240424152,0.197089372870654,0.398020384229725,0.181320194489816,0.215321472082798,0.172873498121161,0.393636808477947,0.300775278107916,0.0690410006158327,0,0.191727138954781,0.205239990937857,0.30687347579816,0.556818494887267,0.089297954516007,0.470364657419175,0.322761219999162,0.194497715218964,0.174267653423756
"X6075",0.0889755575648734,0.106900627131206,0.0635442733926074,0.165440628514824,0.0988616507573848,0.145709380215427,0.149470082612829,0.0746387047658943,0.0609324588028494,0.212345387891432,0.116097820898373,0.274297569836005,0.1330909080377,0.163047691568278,0.124389020959208,0.0404355842049007,0.146774960668127,0.104568937552745,0.0530680168024238,0.229816362444335,0.191727138954781,0,0.216904782260082,0.117122927207461,0.136794287592699,0.236233960570092,0.207564542420541,0.12711884943411,0.133780782632318,0.0394404002746479
