"x"
"11718"
"6273"
"9655"
"16860"
"10646"
"40587"
"7920"
"14805"
"15654"
"7033"
"6653"
"5990"
"8450"
"15813"
"7175"
"17103"
"4565"
"6104"
"6077"
"10799"
"14607"
"9663"
"7867"
"16676"
"4692"
"10889"
"721"
"41294"
"13933"
"715"
"7696"
"13900"
"16522"
"4847"
"14054"
"12901"
"6075"
"14249"
"8331"
"14859"
"7551"
"9369"
"7680"
"10813"
"10559"
"7895"
"16975"
"11160"
"12010"
"9183"
"17314"
"11726"
"15815"
"14908"
"10502"
"4849"
"11944"
"1081"
"3321"
"11102"
"13924"
"7043"
"41214"
"11491"
"14950"
"14871"
"7916"
"9387"
"497"
"15156"
"17158"
"2957"
"17641"
"14982"
"17396"
"6490"
"13872"
"23"
"5605"
"14965"
"6684"
"40190"
"4806"
"17798"
"6333"
"419"
"10328"
"564"
"40553"
"14325"
"6483"
"5504"
"12845"
"323"
"15371"
"13973"
"11710"
"5174"
"13812"
"13179"
"14513"
"786"
"8239"
"1535"
"8697"
"17408"
"7171"
"8863"
"6529"
"8613"
"5090"
"8207"
"11933"
"8214"
"11864"
"9402"
"9612"
"9271"
"2740"
"4691"
"14098"
"15162"
"8238"
"8885"
"15482"
"40501"
"1615"
"3320"
"8459"
"5456"
"8706"
"17363"
"13892"
"15195"
"40763"
"14204"
"16538"
"15187"
"13967"
"11139"
"4837"
"8742"
"11277"
"6285"
"10512"
"7892"
"2685"
"12696"
"16368"
"12016"
"2902"
"40496"
"9982"
"12043"
"11225"
"9089"
"989"
"11151"
"11889"
"2509"
"13304"
"14194"
"14210"
"16786"
"5924"
"11202"
"14605"
"2942"
"711"
"40514"
"11573"
"11336"
"15624"
"2144"
"14915"
"15794"
"13120"
"8339"
"8712"
"8539"
"8611"
"11803"
"978"
"8846"
"3233"
"7796"
"9280"
"15630"
"13036"
"13153"
"457"
"14114"
"2974"
"8059"
"15208"
"7107"
"2898"
"7147"
"11038"
"13838"
"6170"
"12040"
"14144"
"9042"
"11256"
"10377"
"8077"
"190"
"7035"
"2393"
"14645"
"12264"
"12536"
"2435"
"15840"
"14052"
"14863"
"16758"
"41290"
"17589"
"8563"
"14307"
"15627"
"11266"
"40352"
"14989"
"8849"
"8048"
"10845"
"14713"
"17343"
"15057"
"8218"
"4776"
"1269"
"14009"
"3733"
"9963"
"13783"
"14088"
"10113"
"449"
"17297"
"13804"
"11313"
"7387"
"294"
"40581"
"40444"
"17650"
"1706"
"8533"
"14703"
"13081"
"6375"
"10622"
"11422"
"14671"
"16524"
"7270"
"13814"
"7923"
"11057"
"161"
"40153"
"1198"
"7534"
"3340"
"14576"
"5405"
"14894"
"15746"
"14603"
"16219"
"7651"
"40551"
"40355"
"13962"
"17655"
"1742"
"10764"
"10624"
"11730"
"5185"
"41178"
"7660"
"13916"
"13157"
"14616"
"15465"
"11388"
"11166"
"12540"
"6989"
"16277"
"11874"
"14205"
"139"
"40191"
"13938"
"233"
"9962"
"12911"
"16101"
"40236"
"3244"
"13990"
"16625"
"14938"
"11818"
"14128"
"14566"
"14061"
"4824"
"15600"
"13839"
"7947"
"40566"
"3941"
"14188"
"17552"
"17822"
"14058"
"609"
"14977"
"11135"
"3317"
"13677"
"7128"
"40413"
"9670"
"3298"
"6493"
"15851"
"13639"
"10182"
"10130"
"7347"
"12002"
"1357"
"11354"
"50994"
"8905"
"16642"
"14024"
"16203"
"17707"
"40623"
"8595"
"13146"
"15316"
"12870"
"8782"
"6427"
"14822"
"14868"
"10620"
"12047"
"9283"
"13314"
"16289"
"13634"
"14963"
"14156"
"14090"
"8101"
"14316"
"11875"
"15944"
"16525"
"13685"
"13458"
"6422"
"17626"
"13596"
"17789"
"40187"
"13985"
"15332"
"16238"
"10110"
"15173"
"6979"
"50026"
"2954"
"14878"
"9665"
"14391"
"16885"
"14512"
"13835"
"51429"
"9323"
"17099"
"40179"
"40727"
"9601"
